방류기간,지역순번,지역,기관,품종순번,품종,방류구분,방류물량1,단위1,방류물량2,단위2,사업비-국비(천원),사업비-지방비-광역시비(천원),사업비-지방비-도비(천원),사업비-지방비-구비(천원),사업비-지방비-시군구(천원),사업비-지방비-기타(천원),사업비-지방비-소계(천원),사업비-민간(천원),사업비-자담(천원),사업비-총액(천원),계약단가(원),기초단가(공고단가)(원),크기(cm 이상),체중(gram),사업구분,사업명,방류장소명,위도,경도,비고,하천,시도 제출여부,FIRA 제출여부,FIRA 마감,중복여부,특성,값
2022-06-09 ~ 2022-06-09,7,전남,전라남도 순천시,,가리맛조개,매입방류,871446,마리,,,,,90000,,10000,,100000,,,100000,100,115,각장 1,,지자체사업/수산종자관리사업,수산종자매입방류,전라남도 순천시 별량면 구룡리 외 10개소,34.8342254,127.4339905,"-방류장소:  용두·신덕·고장·거차·창산·무풍·화포·우명·노월·와온·대대 어촌계 해역-방류품목: 가리맛조개-방류물량: 871,446마리",,Y,Y,Y,N,방류연도,2022
2022-12-01 ~ 2022-12-01,14,FIRA,한국수산자원공단 본사,,가무락조개,매입방류,10000,마리,,,,1000,,,,,1000,,,1000,100,100,,~,지자체사업/수산종자관리사업,수산종자매입방류,부산광역시 기장군 이동길 4 한국수산자원공단,35.2700827,129.2430997,,,Y,N,Y,N,방류연도,2022
2022-10-24 ~ 2022-10-24,12,경기,경기도 해양수산자원연구소,,가무락조개,시험방류,500000,마리,,,,,41175,,,,41175,,,41175,,,전장 1,~,지자체사업/수산종자관리사업,갯벌유용패류 인공종자생산기술개발,경기도 시흥시 정왕동,37.3388096,126.6836983,,,Y,Y,Y,N,방류연도,2022
2022-01-01 ~ 2022-12-31,2,인천,인천광역시 강화군,,가무락조개,매입방류,589529,마리,,,,30000,,,30000,,60000,,,60000,108.78,122.88,각장 2,8~8,지자체사업/수산종자관리사업,수산종자매입방류,대한민국,37.5647112,126.4737518,"○ 사 업 명 : 수산자원조성 패류종패 살포(보조)  ○ 위    치 : 길상면 동검리, 화도면 흥왕리, 서도면 아차도 지선  ○ 사 업 비 : 60,000,000원(시비50%, 군비50%)  ○  살포량 : 가무락종패살포(4,960kg)  ○ 방류장소      -길상면 동검리 지선(면허 166호) 1,653kg    -화도면 흥왕리 지선(면허 163호) 1,653kg    -서도면 아차도 지선(면허 182호) 1,654kg단가 계산식 : (계약단가/1000) X (총중량(g)/마리수) = (g단가 금액) X (마리당 중량)",,Y,Y,Y,N,방류연도,2022
2022-11-23 ~ 2022-11-24,2,인천,인천광역시 옹진군,,가무락조개,매입방류,447500,마리,,,,,,,50000,,50000,,,50000,112.03,131.2,,~,지자체사업/수산종자관리사업,패류종자살포지원,인천광역시 옹진군 덕적면 백아리,37.0762064,125.9537244,"백아 1430kg, 지도 2150kg = 3580kg마리산출 : 마리당 8g 산출계약단가 : kg당 14,004원기초단가 : kg당 16,400원단가 계산식 : (단가/1000) X (총중량(g)/마리수) = (g단가 금액) X (마리당 중량)",,Y,Y,Y,N,방류연도,2022
2022-10-27 ~ 2022-11-24,2,인천,인천광역시 옹진군,,가무락조개,매입방류,915000,마리,,,,,,,100000,,100000,,,100000,110.3,131.2,,~,지자체사업/수산종자관리사업,패류종자살포지원,인천광역시 옹진군 자월면 자월리 산113,37.2521173,126.3215978,"종패살포량 모도 1470kg, 신시 1470kg 백아 1460kg, 자월 1460kg, 이작 1460kg = 7320kg계약단가 : kg당 13,788원기초단가 : kg당 16,400원마리산출 : 마리당 8g 산출마리당 단가 계산식 : (단가/1000) X (총중량(g)/예상 마리수) = (g단가 금액) X (마리당 중량)",,Y,Y,Y,N,방류연도,2022
2022-06-27 ~ 2022-06-27,7,전남,전라남도 신안군,,가무락조개,매입방류,86000,마리,,,,,,,16800,,16800,,,16800,195.35,217.13,각장 2,13~15,기타 지자체사업,기타 지자체사업,전라남도 신안군 압해읍 학교리 등,34.8673206,126.3154665,"가무락 매입 방류kg당 계약단가 : 13,140kg당 기초단가 : 14,605계약 단가 계산식 : (총 사업비X1000) / (마리수), 기초 단가 계산식 : (예상 기초 단가) / (kg당 계약단가) X (kg당 기초 단가), 마리당 예상중량 : 14.87g",,Y,Y,Y,N,방류연도,2022
2022-06-30 ~ 2022-06-30,5,충남,충청남도 태안군,,가무락조개,매입방류,379855,마리,,,,,,,50054,,50054,,,50054,222.1,229,갑폭 1.0,~,지자체사업/수산종자관리사업,수산종자매입방류,충청남도 태안군 안면읍 황도리 26-6,36.599902,126.3844979,,,Y,Y,Y,N,방류연도,2022
2022-01-01 ~ 2022-12-31,10,경남,경상남도 창원시,15,감성돔,매입방류,123831,마리,,,,,38063,,4229,,42292,,,42292,341.53,387.49,,~,지자체사업/수산종자관리사업,수산종자매입방류,마산합포구 욱곡 외1,35.2241,128.6241,,,Y,Y,Y,N,방류연도,2022
2022-06-02 ~ 2022-06-02,10,경남,경상남도 하동군,15,감성돔,매입방류,139183,마리,,,,,45000,,5000,,50000,,,50000,359.7,408,전장 5,,지자체사업/수산종자관리사업,수산종자매입방류,경상남도 하동군 금남면 노량리 산35-21 외 5개소,34.9620498,127.8764459,"감성돔 방류 시행 (중평, 구노량, 대도, 송문, 신노량, 연막해역)",,Y,Y,Y,N,방류연도,2022
