방류기간,기관,품종,방류구분,방류물량1,단위,방류물량2,단위,사업비-국비(천원),사업비-지방비-광역시비(천원),사업비-지방비-도비(천원),사업비-지방비-구비(천원),사업비-지방비-시군구(천원),사업비-지방비-기타(천원),사업비-지방비-소계(천원),사업비-민간(천원),사업비-자담(천원),사업비-총액(천원),계약단가(원),기초단가(공고단가)(원),크기(cm 이상),체중(gram),사업구분,사업명,담당자,전화번호,방류장소명,업체명,사업자번호,대표자,업체주소,비고
2023-05-30 ~ 2023-05-30,강원특별자치도 태백시,미유기,무상방류,30000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,기타 지자체사업,2023년 내수면 향토어종 방류행사,서세형,033-550-2289,태백시 황지동 623,,--,,,태백시 축산과-10689(2024.08.02)/생명자원실-2084(2024.08.02)호
2023-06-07 ~ 2023-06-07,강원특별자치도 강릉시,해삼,매입방류,50912,마리,68.2,kg,0,0,0,0,23000,0,23000,0,0,23000,516.67,586,,1~2,지자체사업/수산종자관리사업,해삼 중간 육성장 조성,김동원,033-640-5378,강원특별자치도 강릉시 강동면 심곡리 157-1,,--,,,*근거 : 강릉시 해양수산과-8742(2024.05.24.) / 한국수산자원공단 생명자원실-1142(2024.05.27.)
2023-01-01 ~ 2023-12-31,강원특별자치도 강릉시,해삼,매입방류,96775,마리,129.7,kg,0,0,15000,0,35000,0,50000,0,0,50000,516.67,586,,1~2,지자체사업/수산종자관리사업,해삼 특화 양식단지 조성,김동원,033-640-5378,강원특별자치도 강릉시 주문진읍 주문리 122-2,,--,,,"*근거 : 강릉시 해양수산과-8742(2024.05.24.) / 생명자원실-1142(2024.05.27.)
"
2023-02-21 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,4600000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,강원특별자치도 양양군 손양면 동명로 119 한국수산자원공단동해생명자원센터,,,,,
2023-01-01 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,100000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,강원특별자치도 양양군 손양면 수산1길 23,,,,,
2023-02-21 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,300000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,울산광역시 울주군 범서읍 굴화리 산13-3,,,,,
2023-02-21 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,300000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,경상남도 밀양시 상남면 예림리 81-6,,,,,
2023-02-21 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,100000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,강원특별자치도 강릉시 내곡동 31,,,,,
2023-02-21 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,500000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,강원특별자치도 고성군 현내면 명파4길 18-25,,,,,
2023-02-21 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,2000000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,강원특별자치도 고성군 거진읍 송죽리 96-10,,,,,
2023-02-21 ~ 2023-04-28,한국수산자원공단 동해생명자원센터,연어,생산방류,1000000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0~2.0,"국비사업(자율관리, 해양보호구역 등)",수산종자자원관리,전해련,033-670-2585,강원특별자치도 강릉시 연곡면 동덕리 1289-5,,,,,
2023-05-09 ~ 2023-05-09,경상북도 예천군,붕어,매입방류,295000,마리,0,,14750,0,3540,0,8260,0,11800,0,2950,29500,100,100,,,"국비사업(자율관리, 해양보호구역 등)",어업자원자율관리공동체지원,지현식,054-650-6290,경상북도 예천군 풍양면 효갈리 864,,--,,,
2023-08-18 ~ 2023-08-18,경상북도 예천군,잉어,매입방류,38000,마리,0,,0,0,1140,0,2660,0,3800,0,0,3800,100,100,,,기타 지자체사업,마을어장관리사업,지현식,054-650-6290,경상북도 예천군 예천읍 남본리 310-1,,,,,
2023-08-18 ~ 2023-08-18,경상북도 예천군,메기,매입방류,20000,마리,0,,0,0,720,0,1680,0,2400,0,0,2400,120,120,,,기타 지자체사업,마을어장관리사업,지현식,054-650-6290,경상북도 예천군 예천읍 남본리 310-1,,,,,
2023-08-18 ~ 2023-08-18,경상북도 예천군,붕어,매입방류,38000,마리,0,,0,0,1140,0,2660,0,3800,0,0,3800,100,100,,,기타 지자체사업,마을어장관리사업,지현식,054-650-6290,경상북도 예천군 예천읍 남본리 310-1,,,,,
2023-01-01 ~ 2023-12-31,경상남도 거창군,쏘가리,매입방류,30004,마리,0,,0,0,25837,0,2871,0,28708,0,0,28708,956.8,1000,전장 3,0.19~0.19,지자체사업/수산종자관리사업,수산종자매입방류,문기완,055-940-8134,경상남도 거창군 거창읍 대평리 12,산청쏘가리양어장,613-90-94912,김진오,경상남도 산청군 단성면 당산리 462,
2023-01-01 ~ 2023-12-31,경상남도 거창군,뱀장어,매입방류,5416,마리,0,,0,0,27983,0,3109,0,31092,0,0,31092,5740.8,6000,전장 10,2.41~2.41,지자체사업/수산종자관리사업,수산종자매입방류,문기완,055-940-8134,경상남도 거창군 거창읍 김천리 2,산청쏘가리양어장,613-90-94912,김진오,경상남도 산청군 단성면 당산리 462,
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,개조개,매입방류,579040,마리,0,,0,0,15981,0,63926,0,79907,0,0,79907,138,235,각장 0.6,,지자체사업/수산종자관리사업,수산종자매입방류,김라린,063-440-2662,경기도 안산시 단원구 대부동 산288,구룡수산,427-17-01745,명광섭,,
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,동죽,매입방류,2142105,마리,4070,kg,0,0,1706,0,6825,0,8531,0,2132,10663,2620,2999,각장 1.5,,지자체사업/수산종자관리사업,수산종자매입방류,김라린,063-440-2662,경기도 안산시 단원구 대부동 398,연하수산,404-98-59864,노일남,전라북도 고창군 심원면 심원로175,
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,꽃게,매입방류,106101,마리,0,,0,0,4000,0,16000,0,20000,0,0,20000,188.5,194.32,갑폭 1~,,지자체사업/수산종자관리사업,수산종자매입방류,김라린,063-440-2662,경기도 안산시 단원구 대부동 398,보성수산,503-96-15835,황숙희,경기도 화성시 서신면 제부로350-12,
