품종,방류물량1,방류구분,연도,월,시도,어종류
감성돔,123831,매입방류,2022,01,경남,감성돔
감성돔,139183,매입방류,2022,06,경남,감성돔
감성돔,303030,매입방류,2022,01,경남,감성돔
감성돔,100000,생산방류,2022,07,경남,감성돔
감성돔,208290,매입방류,2022,06,경남,감성돔
감성돔,152049,매입방류,2022,06,경남,감성돔
감성돔,43000,생산방류,2022,06,부산,감성돔
감성돔,146100,매입방류,2022,01,전남,감성돔
감성돔,243000,매입방류,2022,05,전남,감성돔
감성돔,253108,매입방류,2022,05,전남,감성돔
감성돔,228277,매입방류,2022,06,전남,감성돔
감성돔,229042,매입방류,2022,06,전남,감성돔
감성돔,104651,매입방류,2022,08,전남,감성돔
감성돔,135682,매입방류,2022,07,전남,감성돔
감성돔,111651,매입방류,2022,08,전남,감성돔
감성돔,200543,매입방류,2022,07,전남,감성돔
감성돔,247500,매입방류,2022,06,전남,감성돔
감성돔,140850,매입방류,2022,05,전남,감성돔
감성돔,138982,매입방류,2022,05,전남,감성돔
감성돔,147419,매입방류,2022,05,전남,감성돔
감성돔,76924,매입방류,2022,06,전남,감성돔
감성돔,568362,매입방류,2022,06,전북,감성돔
감성돔,211268,매입방류,2022,06,전북,감성돔
감성돔,478000,매입방류,2022,06,전북,감성돔
감성돔,342626,매입방류,2022,06,충남,감성돔
감성돔,328398,매입방류,2022,07,충남,감성돔
갑오징어,50000,무상방류,2022,07,경기,갑오징어류
갑오징어,48000,생산방류,2022,07,인천,갑오징어류
갑오징어,123000,생산방류,2022,07,인천,갑오징어류
갑오징어,50000,생산방류,2022,06,전남,갑오징어류
강도다리,94783,매입방류,2022,07,강원,가자미류
강도다리,137218,매입방류,2022,08,강원,가자미류
강도다리,70000,무상방류,2022,09,강원,가자미류
강도다리,34058,매입방류,2022,08,강원,가자미류
강도다리,35581,매입방류,2022,08,강원,가자미류
강도다리,70000,생산방류,2022,09,강원,가자미류
강도다리,65000,생산방류,2022,09,강원,가자미류
강도다리,65000,생산방류,2022,09,강원,가자미류
강도다리,97016,매입방류,2022,08,강원,가자미류
강도다리,97016,매입방류,2022,08,강원,가자미류
강도다리,40000,무상방류,2022,05,경북,가자미류
강도다리,155556,매입방류,2022,11,경북,가자미류
강도다리,400000,매입방류,2022,09,경북,가자미류
강도다리,96410,매입방류,2022,08,울산,가자미류
강도다리,94621,매입방류,2022,08,울산,가자미류
개볼락,20000,시험방류,2022,09,경북,기타볼락류
개볼락,20000,무상방류,2022,09,경북,기타볼락류
꼼치,137000,무상방류,2022,01,경남,꼼치류
꼼치,25900000,생산방류,2022,02,전남,꼼치류
꽃게,819058,매입방류,2022,01,경기,꽃게
꽃게,710679,매입방류,2022,07,경기,꽃게
꽃게,419885,매입방류,2022,07,경기,꽃게
꽃게,228000,매입방류,2022,06,경남,꽃게
꽃게,430289,매입방류,2022,01,경남,꽃게
꽃게,274726,매입방류,2022,07,경남,꽃게
꽃게,244211,매입방류,2022,06,경남,꽃게
꽃게,530937,매입방류,2022,09,인천,꽃게
꽃게,480221,매입방류,2022,07,인천,꽃게
꽃게,871373,매입방류,2022,07,인천,꽃게
꽃게,1151400,생산방류,2022,09,인천,꽃게
꽃게,950909,생산방류,2022,06,인천,꽃게
꽃게,300000,생산방류,2022,08,전남,꽃게
꽃게,200000,매입방류,2022,09,전남,꽃게
꽃게,156463,매입방류,2022,10,전남,꽃게
꽃게,91482,매입방류,2022,06,전남,꽃게
꽃게,70000,매입방류,2022,06,전남,꽃게
꽃게,70000,매입방류,2022,06,전남,꽃게
꽃게,100000,무상방류,2022,06,전북,꽃게
꽃게,50000,무상방류,2022,06,전북,꽃게
꽃게,100000,무상방류,2022,06,전북,꽃게
꽃게,889500,매입방류,2022,07,전북,꽃게
꽃게,437995,매입방류,2022,06,충남,꽃게
꽃게,522101,매입방류,2022,06,충남,꽃게
꽃게,838616,매입방류,2022,06,충남,꽃게
꽃게,390244,매입방류,2022,06,충남,꽃게
꽃게,566010,매입방류,2022,05,충남,꽃게
꽃게,208334,매입방류,2022,07,충남,꽃게
꽃게,216666,매입방류,2022,06,충남,꽃게
꽃게,90000,생산방류,2022,07,충남,꽃게
꽃게,90000,생산방류,2022,07,충남,꽃게
꽃게,90000,생산방류,2022,07,충남,꽃게
꽃게,90000,생산방류,2022,07,충남,꽃게
꽃게,90000,생산방류,2022,06,충남,꽃게
꽃게,90000,생산방류,2022,06,충남,꽃게
꽃게,1106250,매입방류,2022,07,충남,꽃게
꽃게,1346250,매입방류,2022,01,충남,꽃게
낙지,11000,매입방류,2022,06,전남,낙지류
넙치,30000,무상방류,2022,09,강원,넙치류(광어)
넙치,30000,생산방류,2022,09,강원,넙치류(광어)
넙치,30000,생산방류,2022,09,강원,넙치류(광어)
넙치,30000,생산방류,2022,09,강원,넙치류(광어)
넙치,30000,생산방류,2022,09,강원,넙치류(광어)
넙치,322294,매입방류,2022,01,경기,넙치류(광어)
넙치,1186391,매입방류,2022,07,경기,넙치류(광어)
넙치,654456,매입방류,2022,07,경기,넙치류(광어)
넙치,1159746,매입방류,2022,06,경기,넙치류(광어)
넙치,255000,생산방류,2022,05,부산,넙치류(광어)
넙치,469637,매입방류,2022,07,인천,넙치류(광어)
넙치,518135,매입방류,2022,01,전북,넙치류(광어)
넙치,464000,매입방류,2022,06,전북,넙치류(광어)
넙치,4480220,매입방류,2022,01,충남,넙치류(광어)
넙치,541908,매입방류,2022,07,충남,넙치류(광어)
넙치,141654,매입방류,2022,07,충남,넙치류(광어)
넙치,171495,매입방류,2022,07,충남,넙치류(광어)
넙치,134049,매입방류,2022,07,충남,넙치류(광어)
넙치,141654,매입방류,2022,07,충남,넙치류(광어)
대구,6000000,무상방류,2022,04,강원,대구
대구,6000000,생산방류,2022,04,강원,대구
대구,2000000,생산방류,2022,01,부산,대구
대농갱이,17200,매입방류,2022,10,강원,기타
대농갱이,50000,무상방류,2022,08,강원,기타
대농갱이,59735,매입방류,2022,10,강원,기타
대농갱이,76910,매입방류,2022,10,강원,기타
대농갱이,50000,생산방류,2022,09,강원,기타
대농갱이,50000,생산방류,2022,09,강원,기타
대농갱이,25000,생산방류,2022,08,강원,기타
대농갱이,25000,생산방류,2022,08,강원,기타
대농갱이,50000,생산방류,2022,08,강원,기타
대농갱이,232186,매입방류,2022,10,강원,기타
대농갱이,51200,매입방류,2022,10,강원,기타
대농갱이,82305,매입방류,2022,06,강원,기타
대농갱이,25000,무상방류,2022,08,강원,기타
대농갱이,25000,무상방류,2022,08,강원,기타
대농갱이,31304,매입방류,2022,10,강원,기타
대농갱이,31304,매입방류,2022,10,강원,기타
대농갱이,31304,매입방류,2022,10,강원,기타
대농갱이,41804,매입방류,2022,10,강원,기타
대농갱이,88888,매입방류,2022,11,경기,기타
대농갱이,142570,매입방류,2022,10,경기,기타
대농갱이,133080,매입방류,2022,09,경기,기타
대농갱이,180000,매입방류,2022,10,경기,기타
대농갱이,86957,매입방류,2022,05,경기,기타
대농갱이,27253,매입방류,2022,10,경기,기타
대농갱이,69205,매입방류,2022,09,경기,기타
대농갱이,15000,생산방류,2022,09,전북,기타
대농갱이,15000,생산방류,2022,09,전북,기타
대하,17773438,매입방류,2022,01,경기,기타갑각류
대하,2500000,무상방류,2022,06,전남,기타갑각류
대하,6703911,매입방류,2022,05,전남,기타갑각류
대하,2467670,매입방류,2022,05,전남,기타갑각류
대하,2000000,매입방류,2022,06,전남,기타갑각류
대하,2395605,매입방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,2500000,생산방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,2500000,생산방류,2022,06,전남,기타갑각류
대하,2500000,생산방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,2500000,생산방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,1250000,생산방류,2022,06,전남,기타갑각류
대하,15665797,매입방류,2022,06,충남,기타갑각류
대하,17344436,매입방류,2022,07,충남,기타갑각류
대하,12437790,매입방류,2022,06,충남,기타갑각류
대하,6125875,매입방류,2022,06,충남,기타갑각류
대하,2742372,매입방류,2022,07,충남,기타갑각류
대하,4000000,생산방류,2022,05,충남,기타갑각류
대하,4000000,생산방류,2022,05,충남,기타갑각류
대하,4000000,생산방류,2022,05,충남,기타갑각류
대하,4000000,생산방류,2022,05,충남,기타갑각류
대하,4000000,생산방류,2022,05,충남,기타갑각류
