시도,어종류,연도,월,어획량_마리,어획량_Kg,품종,방류량,방류구분
강원,가자미류,2022,7,0.0,0.0,강도다리,94783.0,매입방류
강원,가자미류,2022,7,0.0,0.0,문치가자미,92986.0,매입방류
강원,가자미류,2022,8,0.0,0.0,강도다리,137218.0,매입방류
강원,가자미류,2022,8,0.0,0.0,강도다리,34058.0,매입방류
강원,가자미류,2022,8,0.0,0.0,강도다리,35581.0,매입방류
강원,가자미류,2022,8,0.0,0.0,강도다리,97016.0,매입방류
강원,가자미류,2022,8,0.0,0.0,강도다리,97016.0,매입방류
강원,가자미류,2022,8,0.0,0.0,돌가자미,22314.0,매입방류
강원,가자미류,2022,8,0.0,0.0,돌가자미,22315.0,매입방류
강원,가자미류,2022,8,0.0,0.0,돌가자미,69056.0,매입방류
강원,가자미류,2022,8,0.0,0.0,문치가자미,50000.0,매입방류
강원,가자미류,2022,9,0.0,0.0,강도다리,70000.0,무상방류
강원,가자미류,2022,9,0.0,0.0,강도다리,70000.0,생산방류
강원,가자미류,2022,9,0.0,0.0,강도다리,65000.0,생산방류
강원,가자미류,2022,9,0.0,0.0,강도다리,65000.0,생산방류
강원,가자미류,2023,1,304982.0,78277.0,강도다리,61871.0,매입방류
강원,가자미류,2023,1,304982.0,78277.0,강도다리,50000.0,무상방류
강원,가자미류,2023,2,628437.0,124213.0,미방류,0.0,미방류
강원,가자미류,2023,3,106758.0,27797.8,미방류,0.0,미방류
강원,가자미류,2023,4,34029.0,7582.6,미방류,0.0,미방류
강원,가자미류,2023,5,17485.0,4095.8,미방류,0.0,미방류
강원,가자미류,2023,6,32629.0,7922.2,미방류,0.0,미방류
강원,가자미류,2023,7,38612.0,10670.5,강도다리,79454.0,매입방류
강원,가자미류,2023,7,38612.0,10670.5,문치가자미,20594.0,매입방류
강원,가자미류,2023,7,38612.0,10670.5,강도다리,46209.0,매입방류
강원,가자미류,2023,7,38612.0,10670.5,강도다리,46846.0,매입방류
강원,가자미류,2023,8,25309.0,8193.9,문치가자미,26446.0,매입방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,94284.0,매입방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,50000.0,무상방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,50000.0,생산방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,50000.0,생산방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,50000.0,생산방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,50000.0,생산방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,50000.0,생산방류
강원,가자미류,2023,9,29822.0,5975.4,강도다리,50000.0,생산방류
강원,가자미류,2023,10,12976.0,3781.1,미방류,0.0,미방류
강원,가자미류,2023,11,6146.0,1268.7,미방류,0.0,미방류
강원,가자미류,2023,12,110252.0,34281.6,미방류,0.0,미방류
강원,가자미류,2024,1,105520.0,30083.1,미방류,0.0,미방류
강원,가자미류,2024,2,508205.0,83265.8,미방류,0.0,미방류
강원,가자미류,2024,3,70020.0,25259.0,미방류,0.0,미방류
강원,가자미류,2024,4,50491.0,15017.4,미방류,0.0,미방류
강원,가자미류,2024,5,52793.0,9644.8,미방류,0.0,미방류
강원,가자미류,2024,6,52623.0,10951.4,미방류,0.0,미방류
강원,가자미류,2024,7,46575.0,9194.2,미방류,0.0,미방류
강원,가자미류,2024,8,71427.0,13185.2,미방류,0.0,미방류
강원,가자미류,2024,9,34602.0,7849.7,미방류,0.0,미방류
강원,가자미류,2024,10,28349.0,4631.7,미방류,0.0,미방류
강원,감성돔,2023,1,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,2,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,3,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,4,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,5,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,6,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,7,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,8,0.0,0.0,감성돔,59084.0,매입방류
강원,감성돔,2023,9,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,10,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,11,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2023,12,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,1,11.0,4.0,미방류,0.0,미방류
강원,감성돔,2024,2,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,3,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,4,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,5,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,6,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,7,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,8,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,9,0.0,0.0,미방류,0.0,미방류
강원,감성돔,2024,10,0.0,0.0,미방류,0.0,미방류
강원,갯장어,2022,1,0.0,0.0,뱀장어,4311.0,매입방류
강원,갯장어,2022,1,0.0,0.0,뱀장어,2620.0,매입방류
강원,갯장어,2022,6,0.0,0.0,뱀장어,3916.0,매입방류
강원,갯장어,2022,6,0.0,0.0,뱀장어,8598.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,무상방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,무상방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,1000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,1000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,3163.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,8289.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,무상방류
