,시도,어종류,연도,월,총마릿수[마리],총중량[kg]
0,강원,가자미류,2023,01,304982.0,78277.0
1,강원,가자미류,2023,02,628437.0,124213.0
2,강원,가자미류,2023,03,106758.0,27797.8
3,강원,가자미류,2023,04,34029.0,7582.6
4,강원,가자미류,2023,05,17485.0,4095.8
5,강원,가자미류,2023,06,32629.0,7922.2
6,강원,가자미류,2023,07,38612.0,10670.5
7,강원,가자미류,2023,08,25309.0,8193.9
8,강원,가자미류,2023,09,29822.0,5975.4
9,강원,가자미류,2023,10,12976.0,3781.1
10,강원,가자미류,2023,11,6146.0,1268.7
11,강원,가자미류,2023,12,110252.0,34281.6
12,강원,가자미류,2024,01,105520.0,30083.1
13,강원,가자미류,2024,02,508205.0,83265.8
14,강원,가자미류,2024,03,70020.0,25259.0
15,강원,가자미류,2024,04,50491.0,15017.4
16,강원,가자미류,2024,05,52793.0,9644.8
17,강원,가자미류,2024,06,52623.0,10951.4
18,강원,가자미류,2024,07,46575.0,9194.2
19,강원,가자미류,2024,08,71427.0,13185.2
20,강원,가자미류,2024,09,34602.0,7849.7
21,강원,가자미류,2024,10,28349.0,4631.7
22,강원,감성돔,2023,01,0.0,0.0
23,강원,감성돔,2023,02,0.0,0.0
24,강원,감성돔,2023,03,0.0,0.0
25,강원,감성돔,2023,04,0.0,0.0
26,강원,감성돔,2023,05,0.0,0.0
27,강원,감성돔,2023,06,0.0,0.0
28,강원,감성돔,2023,07,0.0,0.0
29,강원,감성돔,2023,08,0.0,0.0
30,강원,감성돔,2023,09,0.0,0.0
31,강원,감성돔,2023,10,0.0,0.0
32,강원,감성돔,2023,11,0.0,0.0
33,강원,감성돔,2023,12,0.0,0.0
34,강원,감성돔,2024,01,11.0,4.0
35,강원,감성돔,2024,02,0.0,0.0
36,강원,감성돔,2024,03,0.0,0.0
37,강원,감성돔,2024,04,0.0,0.0
38,강원,감성돔,2024,05,0.0,0.0
39,강원,감성돔,2024,06,0.0,0.0
40,강원,감성돔,2024,07,0.0,0.0
41,강원,감성돔,2024,08,0.0,0.0
42,강원,감성돔,2024,09,0.0,0.0
43,강원,감성돔,2024,10,0.0,0.0
88,강원,기타,2023,01,0.0,0.0
89,강원,기타,2023,02,0.0,0.0
90,강원,기타,2023,03,0.0,0.0
91,강원,기타,2023,04,0.0,0.0
92,강원,기타,2023,05,0.0,0.0
93,강원,기타,2023,06,154.0,26.5
94,강원,기타,2023,07,0.0,0.0
95,강원,기타,2023,08,0.0,0.0
96,강원,기타,2023,09,0.0,0.0
97,강원,기타,2023,10,0.0,0.0
98,강원,기타,2023,11,0.0,0.0
99,강원,기타,2023,12,0.0,0.0
100,강원,기타,2024,01,0.0,0.0
101,강원,기타,2024,02,0.0,0.0
102,강원,기타,2024,03,0.0,0.0
103,강원,기타,2024,04,0.0,0.0
104,강원,기타,2024,05,0.0,0.0
105,강원,기타,2024,06,0.0,0.0
106,강원,기타,2024,07,0.0,0.0
107,강원,기타,2024,08,0.0,0.0
108,강원,기타,2024,09,0.0,0.0
109,강원,기타,2024,10,0.0,0.0
110,강원,기타볼락류,2023,01,1933.0,677.2
111,강원,기타볼락류,2023,02,734.0,453.4
112,강원,기타볼락류,2023,03,0.0,0.0
113,강원,기타볼락류,2023,04,0.0,0.0
114,강원,기타볼락류,2023,05,0.0,0.0
115,강원,기타볼락류,2023,06,1208.0,343.8
116,강원,기타볼락류,2023,07,741.0,214.8
117,강원,기타볼락류,2023,08,641.0,270.4
118,강원,기타볼락류,2023,09,1563.0,825.9
119,강원,기타볼락류,2023,10,253.0,206.9
120,강원,기타볼락류,2023,11,10.0,4.5
121,강원,기타볼락류,2023,12,75.0,25.7
122,강원,기타볼락류,2024,01,1661.0,651.0
123,강원,기타볼락류,2024,02,1846.0,461.3
124,강원,기타볼락류,2024,03,2071.0,623.6
125,강원,기타볼락류,2024,04,140.0,42.2
126,강원,기타볼락류,2024,05,1903.0,190.3
127,강원,기타볼락류,2024,06,13861.0,2672.6
128,강원,기타볼락류,2024,07,1441.0,1057.8
129,강원,기타볼락류,2024,08,1837.0,872.1
130,강원,기타볼락류,2024,09,774.0,328.1
131,강원,기타볼락류,2024,10,342.0,138.9
132,강원,기타어류,2023,01,378.0,114.4
133,강원,기타어류,2023,02,344.0,106.0
134,강원,기타어류,2023,03,6747.0,1387.4
135,강원,기타어류,2023,04,1390.0,306.1
136,강원,기타어류,2023,05,1965.0,577.0
137,강원,기타어류,2023,06,1184.0,208.2
138,강원,기타어류,2023,07,846.0,198.3
139,강원,기타어류,2023,08,414.0,122.9
140,강원,기타어류,2023,09,543.0,147.6
141,강원,기타어류,2023,10,360.0,132.0
142,강원,기타어류,2023,11,175.0,74.9
143,강원,기타어류,2023,12,282.0,109.2
144,강원,기타어류,2024,01,360.0,42.3
145,강원,기타어류,2024,02,309.0,80.5
146,강원,기타어류,2024,03,217.0,56.3
147,강원,기타어류,2024,04,2309.0,492.9
148,강원,기타어류,2024,05,4986.0,1321.2
149,강원,기타어류,2024,06,12647.0,2472.7
150,강원,기타어류,2024,07,2792.0,937.5
151,강원,기타어류,2024,08,2177.0,665.6
152,강원,기타어류,2024,09,190.0,101.1
153,강원,기타어류,2024,10,310.0,70.7
154,강원,넙치류(광어),2023,01,0.0,0.0
155,강원,넙치류(광어),2023,02,4.0,2.2
156,강원,넙치류(광어),2023,03,0.0,0.0
157,강원,넙치류(광어),2023,04,1180.0,2505.5
158,강원,넙치류(광어),2023,05,542.0,1154.7
