시도,어종명,항목,단위,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,2024.01 월,2024.02 월,2024.03 월,2024.04 월,2024.05 월,2024.06 월,2024.07 월,2024.08 월,2024.09 월,2024.10 월
부산,가오리류,총마릿수[마리],마리,,,107,,,,,,,,,,,,,5,,19,,3,,
부산,가오리류,총중량[kg],kg,,,78.4,,,,,,,,,,,,,4.6,,16,,1.6,,
부산,가자미류,총마릿수[마리],마리,1784,3033,1808,1296,481,122,,217,,,133,,,98,1179,2682,361,43,,,,
부산,가자미류,총중량[kg],kg,1300.7,1531.2,962,541.2,270.8,87.9,,126.9,,,47.6,,,47.6,583.1,1343,142.9,18.7,,,,
부산,갈치,총마릿수[마리],마리,,115,,,,,,96828,84627,126154,24237,,,,,,,,,556,34134,31302
부산,갈치,총중량[kg],kg,,26.9,,,,,,23719.5,27561,43081.5,8428.5,,,,,,,,,152.6,8881.4,7030.1
부산,고등어,총마릿수[마리],마리,133,617,3460,554,679,3604,990,3402,995,2395,2436,,92,818,190,84,,504,4225,5033,5630,8931
부산,고등어,총중량[kg],kg,21.5,104.5,483.9,82.7,274.3,1688,359.9,861.2,244.2,1055.1,785,,9.2,211,63.4,11.5,,337.5,2665.8,1476.2,1227.5,1935.5
부산,꽁치,총마릿수[마리],마리,,,,,,,,,,,,,214,,,,,,,,,
부산,꽁치,총중량[kg],kg,,,,,,,,,,,,,179.7,,,,,,,,,
부산,학공치,총마릿수[마리],마리,623,1992,5619,,,,167,326,,,,10988,31401,6966,988,366,,,,1183,294,1449
부산,학공치,총중량[kg],kg,109.8,236.9,276.2,,,,33.4,35.7,,,,1259.6,3066.6,593.4,62.2,28.4,,,,201.1,44.1,287.4
부산,넙치류(광어),총마릿수[마리],마리,89,100,,,83,115,,,3,19,16,,4,2,,8,8,,,,,7
부산,넙치류(광어),총중량[kg],kg,121.2,237.2,,,125,123.7,,,34.9,68.5,306.8,,10.9,3,,23.1,18.9,,,,,17.4
부산,농어류,총마릿수[마리],마리,93,107,44,478,471,787,905,976,437,610,121,40,,5,211,208,312,544,267,71,221,177
부산,농어류,총중량[kg],kg,135.5,156.6,87.2,956.8,491.2,728.4,1370.2,1498.7,705.4,880.9,144.9,68.7,,2.5,113.7,266.4,432.5,526.1,319.1,69.8,286.6,269.7
부산,눈볼대,총마릿수[마리],마리,697,,,,,,,,,,,,,,,,,,,,,
부산,눈볼대,총중량[kg],kg,356.2,,,,,,,,,,,,,,,,,,,,,
부산,능성어,총마릿수[마리],마리,,,,,5,,,,,,,,,,,,,,,,10,7
부산,능성어,총중량[kg],kg,,,,,11.6,,,,,,,,,,,,,,,,3.6,5.4
부산,참다랑어,총마릿수[마리],마리,,,,,,,,4,,,7,,19,3,,,,,,,12,55
부산,참다랑어,총중량[kg],kg,,,,,,,,10.9,,,21.7,,43.8,2.5,,,,,,,21.9,82.5
부산,기타다랑어류,총마릿수[마리],마리,,,9,,,,,,40,,,10,,,3,,,,,24,,2
부산,기타다랑어류,총중량[kg],kg,,,26.5,,,,,,79.7,,,10,,,2.4,,,,,4.7,,2
부산,대구,총마릿수[마리],마리,,10,,,,,,,,,,,,,,,,,,,,
부산,대구,총중량[kg],kg,,10,,,,,,,,,,,,,,,,,,,,
부산,감성돔,총마릿수[마리],마리,1152,1836,3753,2953,,536,1193,133498,121271,54216,24505,19644,8774,5512,7557,4446,7,1999,261,3347,9099,11940
부산,감성돔,총중량[kg],kg,672.5,1721.7,3198.9,1947.9,,281.3,945.1,52985.2,58943.9,23543.7,12987.8,10345.2,5751,3055.7,4497.5,3137.9,2.9,1389.7,86.6,1005.3,3990.2,7079.2
부산,옥돔류,총마릿수[마리],마리,,,,,,,,,,,,,,,,13,,,,,,
부산,옥돔류,총중량[kg],kg,,,,,,,,,,,,,,,,2.5,,,,,,
부산,자리돔,총마릿수[마리],마리,,,,,2191,1207,,72,,,,,17,40,12,,3393,440,,,,
부산,자리돔,총중량[kg],kg,,,,,271.6,210,,3.6,,,,,0.4,1.2,0.5,,126.7,28.3,,,,
부산,참돔,총마릿수[마리],마리,6766,4517,512,1720,6947,5468,8539,10058,5634,5678,3843,2985,4157,3157,3859,1148,4415,4764,6075,5836,2833,3628
